wallet,value,buydate,timestamp,etherscan
0x22d8432cc7aa4f8712a655fc4cdfb1baec29fca9,19.720675798826814269,2019-05,1557366252,https://etherscan.io/address/0x22d8432cc7aa4f8712a655fc4cdfb1baec29fca9#tokentxns
0xb9fddbd225b6c8cc24ce193e5fb95db76d783f2d,13,2021-01,1611895075,https://etherscan.io/address/0xb9fddbd225b6c8cc24ce193e5fb95db76d783f2d#tokentxns
0x2b609c3e245b87c85c2b9ac8259e70419ee56ae7,10.825399922549301085,2020-12,1609050251,https://etherscan.io/address/0x2b609c3e245b87c85c2b9ac8259e70419ee56ae7#tokentxns
0xc75a99fa00803896349891f8471da3614bd07564,10.508967723975366035,2021-05,1620244168,https://etherscan.io/address/0xc75a99fa00803896349891f8471da3614bd07564#tokentxns
0x0c613e2281601e4825b8f6e890ad5612cc0d98f1,10,2021-04,1618310684,https://etherscan.io/address/0x0c613e2281601e4825b8f6e890ad5612cc0d98f1#tokentxns
0x645e4bfd69a692bb7314ee5b0568342d0a34388b,7,2019-05,1557418607,https://etherscan.io/address/0x645e4bfd69a692bb7314ee5b0568342d0a34388b#tokentxns
0x1b9524b0f0b9f2e16b5f9e4bad331e01c2267981,6.457388946317252414,2021-05,1620858276,https://etherscan.io/address/0x1b9524b0f0b9f2e16b5f9e4bad331e01c2267981#tokentxns
0xe2451ae4579aedaa933148481732498533db185e,4.488719836592736823,2021-03,1616098165,https://etherscan.io/address/0xe2451ae4579aedaa933148481732498533db185e#tokentxns
0x99de7c8ec72585e695892598439a1c81f61600ab,4.044528638196432417,2020-10,1601731188,https://etherscan.io/address/0x99de7c8ec72585e695892598439a1c81f61600ab#tokentxns
0x6f35b0cfc58eb1e21eef8a439bbb0ce4c929d32a,4,2019-07,1563624618,https://etherscan.io/address/0x6f35b0cfc58eb1e21eef8a439bbb0ce4c929d32a#tokentxns
0xae5c9dc28d008b95b1bb54941950da7ab859aa23,4,2020-12,1606788208,https://etherscan.io/address/0xae5c9dc28d008b95b1bb54941950da7ab859aa23#tokentxns
0xa7b6f7f3e3aa2d9d33249e755f62d7e5ae19ef13,4,2021-02,1612209513,https://etherscan.io/address/0xa7b6f7f3e3aa2d9d33249e755f62d7e5ae19ef13#tokentxns
0x4b622a260c6510f66969355150b1aff418d252a0,3.496945858284419372,2020-07,1596219791,https://etherscan.io/address/0x4b622a260c6510f66969355150b1aff418d252a0#tokentxns
0xea697f6adf57219cc61266aadcb9b726d49c012b,3.001969982183051147,2019-05,1557446369,https://etherscan.io/address/0xea697f6adf57219cc61266aadcb9b726d49c012b#tokentxns
